title,developer,url,group,monthlyUsers,totalUsers,rating,reviews,description
"Amazon Seller Contact Scraper - Emails, Phone, VAT & Ratings",Muhamed Didovic,https://apify.com/memo23/amazon-sellers-scraper?fpr=youssef,amazon,52,184,5,1,"Turn any Amazon search, best-seller list or product URL into a lead list of the third-party sellers behind the products - with legal business name, address, VAT number, phone and email (EU impressum), ratings and storefront. 18 marketplaces, pure HTTP. Opt-in email enrichment. JSON/CSV"
Congress Financial Disclosures & Stock Trades,John,https://apify.com/johnvc/us-congress-financial-disclosures-and-stock-trading-data?fpr=youssef,other-ecommerce,51,260,5,5,"This Apify actor provides comprehensive access to US Congressional financial disclosure and stock trading data. Search for transactions by congressional member name, specific report dates, date ranges, or stock ticker symbols. Perfect for journalists, researchers, and transparency advocates"
"FuelPrices | Pay Per Result, Easy to Use, No Cookies",John,https://apify.com/johnvc/fuelprices?fpr=youssef,ads-and-trends,51,211,5,6,"Get live fuel prices, diesel, and gas price data. Pay only for the results you need - no subscriptions, no commitments. Perfect for tracking local fuel costs, building comparison apps, or analyzing price trends. Pay per usage: no setup, no minimums, no subscriptions"
"Amazon Product Scraper - Price, Rating, Seller & ASIN Data",Jaybird Technologies,https://apify.com/jaybird/amazon-product-data-scraper?fpr=youssef,amazon,50,560,,0,"Scrape Amazon product pages into clean JSON: price, rating, reviews, availability, seller, images, specs. Pay per result"
Naver Shopping Product Scraper,ВAH,https://apify.com/delicious_zebu/naver-shopping-product-scraper?fpr=youssef,reviews,50,444,5.0,40,"Efficiently scrape detailed product data from Naver Shopping! Simply input a search keyword and specify the number of pages, and get comprehensive product details like pricing, seller info, reviews, and more"
TikTok Search Scraper,paul_44,https://apify.com/paul_44/tiktok-search?fpr=youssef,other-ecommerce,50,315,5,3,"Scrape TikTok videos by keyword. Extract title, views, likes, author, hashtags, play URLs, thumbnails. Supports date range, region, sort order, min views/duration filters, strict keyword matching (Korean NFKC), residential proxy, and session caching"
Amazon Seller Scraper,Junglee,https://apify.com/junglee/amazon-seller-scraper?fpr=youssef,amazon,49,1990,1.8,7,Amazon scraper to extract seller information. You can scrape either categories or specific products
"Shopify Store Finder - URLs, emails & more",Iñigo Garcia Olaizola,https://apify.com/igolaizola/shopify-store-finder?fpr=youssef,shopify-stores,49,475,5,2,"Shopify Store Finder locates Shopify stores by keyword and returns structured data: ID, title, description, URL, contact emails, earliest page date, and estimated product count range. Perfect for market research, lead generation, and competitor discovery"
Meta Ads Library Scraper (Pay per Event),Eimantas V,https://apify.com/eiv/meta-ads-library-scraper?fpr=youssef,ads-and-trends,49,416,,0,"Scrape Meta Ad Library by keyword or Facebook page URL. Get ad text, CTA, headlines, platforms, languages, targeting, reach data, and delivery dates. Supports all countries, languages, and filters. Works with any Ad Library search URL. Lightning fast, structured JSON output"
Shopee Product Detail,Gio,https://apify.com/gio21/shopee-product-detail?fpr=youssef,global-marketplaces,49,351,5,6,"Give it Shopee product URLs, get full product detail back: name, description, price, variants/SKUs, full image gallery, seller info, reviews, ratings. Supports Brazil, Indonesia, Thailand, Malaysia, Singapore, Philippines, Vietnam, Mexico"
TikTok Shop Data Scraper,devcake,https://apify.com/devcake/tiktok-shop-data-scraper?fpr=youssef,chinese-marketplaces,48,467,5,1,"Extract TikTok Shop product data instantly - prices, reviews, seller info, and categories. The essential TikTok shop scraper for e-commerce sellers and dropshippers"
"LinkedIn Profile Search - by Name, Job Title or Company",EndSpec,https://apify.com/endspec/linkedin-instant-profile-search?fpr=youssef,other-ecommerce,48,147,,0,"Search LinkedIn profiles by name, job title, or company. Returns matching profiles with full data. Fast, embedded API - no setup, no cookies"
AliExpress Variants of a Product Scraper,Nifty,https://apify.com/nifty.codes/aliexpress-product-ariants-scraper?fpr=youssef,chinese-marketplaces,47,275,,0,"Extract product variants including SKU ID, price, stock, and attributes from individual AliExpress product pages. Powered by AliExpress Scraper"
Free Email Domain Scraper - Extract Emails From Any Website,SR,https://apify.com/s-r/free-email-domain-scraper?fpr=youssef,other-ecommerce,46,1818,5.0,2,"Extract Emails From Any Website. No monthly costs. Contact discovery, employing a two-pass search strategy, advanced filtering (remove generic and malformed emails), cookie-session and proxy-exit rotation, and configurable limits per domain. Ideal for lead generation and market research"
Facebook Marketplace Scraper - No Login Required,Crowd Pull,https://apify.com/crowdpull/facebook-marketplace-scraper?fpr=youssef,global-marketplaces,46,631,,0,"Extract listings from Facebook Marketplace by location. No login or cookies needed. Supports geo-targeted search, category filtering, price range, and keyword search"
Shopify Scraper,Richard Feng,https://apify.com/autofacts/shopify?fpr=youssef,shopify-stores,45,2264,4.2,7,"Scrape any Shopify store: products, variants, collections, prices, images, tags and live stock levels. Crawl a whole catalog, a single collection, one product URL or a keyword search. Optional per-variant inventory counts, subscription plans and videos. Prices in minor units. Pay per result"
Walmart Scraper,Automation Lab,https://apify.com/automation-lab/walmart-scraper?fpr=youssef,us-retailers,45,264,,0,"Scrape Walmart product data for price monitoring - current/was prices, savings, sale flags, sellers, ratings, reviews, brands, and deal badges from search results"
Walmart Reviews Scraper,Billy,https://apify.com/web_wanderer/walmart-reviews-scraper?fpr=youssef,us-retailers,44,197,5,1,"Scrape all Walmart Reviews!, from Walmart.com & Walmart.ca. Export to any format"
MercadoLibre Scraper 2026,devcake,https://apify.com/devcake/mercadolibre-scraper?fpr=youssef,global-marketplaces,44,145,5,1,"Extract product data from MercadoLibre search results across Argentina, Mexico, Brazil and other 14 countries. Supports concurrent pages, multiple queries, and detailed product fields"
"Whatnot Scraper - Extract Seller, Search & Category Data",Epic Scrapers,https://apify.com/epicscrapers/whatnot-scraper?fpr=youssef,reviews,44,139,5.0,4,"Scrape Whatnot.com at scale - search results, seller profiles, reviews, live shows, shop listings, auctions, category leaderboards & more. Fast, reliable and no auth required. Export as JSON, CSV, XML or Excel. Search by keyword or URL, analyze sellers in bulk, or browse and deep-into any category"
SHEIN Product Scraper,Magpie,https://apify.com/native_emblem/shein-product-scraper?fpr=youssef,chinese-marketplaces,43,121,5,2,"Search SHEIN by keyword, or fetch any product by URL or goods ID. Clean JSON: price (local + USD), full-res images, colour variants, rating, stock, size-fit. Proxyless, 40+ regions, 100% success in benchmark. Discovery and detail in one actor"
Alibaba Listings Scraper,FalconScrape,https://apify.com/piotrv1001/alibaba-listings-scraper?fpr=youssef,chinese-marketplaces,42,655,5,3,"The Alibaba Listings Scraper extracts paginated product results from Alibaba based on a search query, capturing product titles, prices, images, URLs, discounts, delivery estimates, ratings, and reviews - ideal for market research and supplier analysis"
Autoscout24 Scraper,Gen First,https://apify.com/ivanvs/autoscout-scraper?fpr=youssef,other-ecommerce,41,861,4.9,6,"Extract data from autoscout24.com for data on thousands of car listings. Scrape car listings, extract descriptions, images, prices, mileage, contact number, addresses, names, engine information, the transmission of the car, and all other listing details"
Trendyol Scraper | All-In-One,Fatih Tahta,https://apify.com/fatihtahta/trendyol-scraper?fpr=youssef,global-marketplaces,41,414,5.0,1,"Extract structured Trendyol product data including prices, ratings, product reviews, Q&A, seller details, and promotion signals. Built for enterprise-grade ecommerce intelligence, catalog enrichment, competitive analysis, and scalable data pipelines"
Amazon Product Details Scraper,Sachin Kumar Yadav,https://apify.com/igview-owner/amazon-product-data-scraper?fpr=youssef,amazon,41,390,1,1,"Fetch Amazon product details from ASINs or product URLs in one click. Get title, price, rating, images, availability and key product info for multiple marketplaces. Perfect for product research, catalog enrichment, price tracking and analytics"
Amazon Scraper,Automation Lab,https://apify.com/automation-lab/amazon-scraper?fpr=youssef,amazon,41,302,5,1,"Scrape Amazon search results for price monitoring: current/list prices, ratings, reviews, seller info, Prime status, availability, and images across 10 marketplaces. Export to JSON, CSV, Excel"
"eBay Scraper - Listings, Sold Prices & Sellers (8 markets)",Khadin Akbar,https://apify.com/khadinakbar/ebay-all-in-one-scraper?fpr=youssef,ebay-etsy,40,309,,0,"Scrape eBay active and sold listings, products, and seller info across 8 marketplaces (US/UK/DE/FR/IT/ES/CA/AU). Search by keyword or paste eBay URLs. Returns flat JSON with 28 fields per item - built for resellers, dropshippers, and AI agents. MCP/API-ready"
1688 Listings Scraper,FalconScrape,https://apify.com/piotrv1001/1688-listings-scraper?fpr=youssef,chinese-marketplaces,40,244,5,1,"The 1688 Listings Scraper extracts wholesale product data from 1688.com (Alibaba's domestic-China B2B marketplace) by keyword or offer ID, capturing titles, tiered prices, MOQ, attributes, images, supplier info, and after-sales policy - ideal for sourcing and price intelligence"
Home Depot Product Scraper,Crawler Bros,https://apify.com/crawlerbros/homedepot-scraper?fpr=youssef,us-retailers,39,247,,0,"Scrape product listings from homedepot.com by keyword or direct URL. Returns product ID, title, brand, price, rating, reviews, image, and URL"
"Email Extractor - Website Email, Phone & Social Scraper",Aitor Sanchez-Mansilla,https://apify.com/aitorsm/email-extractor?fpr=youssef,other-ecommerce,39,219,2,1,"Bulk email & phone extractor for a list of websites. Paste URLs or domains, get back deduped emails, phone numbers, and social links per site - homepage plus contact/about pages, junk filtered. For lead lists, CRM enrichment, and outreach"
Glassdoor Jobs Scraper - Most Comprehensive,Kai,https://apify.com/kaix/glassdoor-jobs-scraper?fpr=youssef,other-ecommerce,39,174,4.7,3,"~ Glassdoor job listings with title, description, salary, location, and company details"
Gumtree [AUS-UK-NZ-SA] Search By URL or Keywords,Muhamed Didovic,https://apify.com/memo23/gumtree-cheerio?fpr=youssef,global-marketplaces,38,226,5.0,9,"extract detailed listings including pricing history, seller info, vehicle specs (VIN, mileage, condition), electronics details, and furniture dimensions. Get rich media (images, videos), location data, and competitor analysis"
"Google Shopping API | Google Shopping Products, Prices & Deals",John,https://apify.com/johnvc/google-shopping-api-google-shopping-products-prices-deals?fpr=youssef,price-comparison,38,146,5,3,"Scrape Google Shopping results: extract product listings, prices, ratings, sellers, delivery info, and discount tags. Filter by location, price range, sort order, free shipping, and sale items. Supports multi-page scraping. Extract product listings, prices, ratings, sellers, and delivery info"
Subito.it Universal Scraper,Azzouzana,https://apify.com/azzouzana/subito-scraper-pro-by-search-url?fpr=youssef,other-ecommerce,38,92,5,2,"API to export Italian real estate, used cars, jobs & marketplace listings to CSV/JSON via Search URL. Extract product data, prices, images & seller details across Italy. Built for market analysis, property investors & dealerships needing fast B2B data extraction"
Etsy Product Search Scraper,GetDataForMe,https://apify.com/getdataforme/etsy-product-search-scraper?fpr=youssef,ebay-etsy,37,635,5.0,5,Use this Crawler if you want to look for a specific product name instead of looking for a category. For example I want to buy phone then simply type phone to get the product listings for phones in etsy
"TikTok Shop Scraper - Products, Sales & Sellers",WebDataLabs,https://apify.com/webdatalabs/tiktok-shop-scraper?fpr=youssef,chinese-marketplaces,37,383,1.1,2,"Scrape TikTok Shop by category, product URL or shop (US) and get prices, cumulative units sold, revenue estimates, ratings and images. Product and Shop modes add full seller data; Product mode also returns SKU variants and recent review texts. For dropshippers, sellers and agencies"
"Linktree, Beacons & Bio Email Scraper: Extract Leads",Ahmed Jasarevic,https://apify.com/ahmed_jasarevic/linktree-beacons-bio-email-scraper-extract-leads?fpr=youssef,other-ecommerce,37,253,5,3,"Turn Linktree, Beacons and Bio URLs into real Email Leads. Scrape contact info, social handles, and affiliate links from Linktree, Beacons and influencers profiles automatically"
Home Depot Product Lookup,Maple Rope,https://apify.com/maplerope44/home-depot-product-lookup?fpr=youssef,us-retailers,36,325,5,1,"Quickly look up Home Depot product prices and availability by entering a product ID and zip code. Get stock information and pricing details from the nearest store, making it easy to compare locations and plan your purchase efficiently"
Naver Map Scraper,OrbitData Labs,https://apify.com/huggable_quote/naver-map-scraper?fpr=youssef,reviews,36,276,5,2,"Scrape places, menus, business hours, reviews and more from Naver Map (map.naver.com). Supports keyword search and direct URL input"
Shopify Store Leads Scraper,ParseBird,https://apify.com/parsebird/shopify-store-leads-scraper?fpr=youssef,shopify-stores,36,121,5,1,"Scrape Shopify store leads by keyword or category. Extract emails, phone numbers, addresses, ratings, social links, and sample products. Filter by location, price, and shipping. Export as JSON, CSV, Excel"
"Amazon Reviews Scraper - Review Text, Ratings & ASIN Data",Jaybird Technologies,https://apify.com/jaybird/amazon-reviews-scraper?fpr=youssef,amazon,36,104,,0,"Scrape Amazon product reviews into clean JSON: review text, title, star rating, date, verified-purchase flag, helpful votes, variant, and author - plus a per-ASIN ratings histogram. Look up by ASIN, product URL, or keyword search. Pay per review"
OLX Listings Scraper,FalconScrape,https://apify.com/piotrv1001/olx-listings-scraper?fpr=youssef,global-marketplaces,35,246,,0,"The OLX Listings Scraper extracts product listings from OLX marketplaces across Poland, Bulgaria, Romania, Portugal, and Ukraine, capturing titles, prices, seller details, photos, and location - ideal for price monitoring and second-hand market analysis"
Twitter (X) Comments Scraper,code craker,https://apify.com/outspoken_strategy/twitter-comments-scraper?fpr=youssef,other-ecommerce,35,112,4.4,2,"Scrape replies (comments) of Twitter/X posts from their URLs - many posts in one run. Returns text, author, favorites, retweets, replies and the source tweet each reply belongs to. Compatible with api-ninja/x-twitter-replies-retweets-scraper"
Flipkart Product Scraper,Shahid Irfan,https://apify.com/shahidirfan/Flipkart-Product-Scraper?fpr=youssef,global-marketplaces,34,264,5,4,"Extract detailed product data from Flipkart with ease. Capture essential information including prices, descriptions, images, and customer reviews instantly. Ideal for market research, price monitoring, and e-commerce analysis. Get structured data for your business needs today!"
Vivino data scraper: wine rating and wine reviews,MrBridge,https://apify.com/mrbridge/vivino-wine-data-scraper?fpr=youssef,reviews,34,223,4.9,7,"Extract wine ratings, prices, taste profiles, wine reviews and grape varieties from Vivino, by wine name or by URL. Vivino has no public API, so this scraper returns the same data as JSON, CSV or Excel, with an HTTP-only engine that needs no browser. Run it via API or schedule it. By MrBridge"
TikTok Shop Scraper: Sales Intelligence,Automation Lab,https://apify.com/automation-lab/tiktok-shop-scraper?fpr=youssef,chinese-marketplaces,34,181,,0,"Scrape TikTok Shop for product research and sales intelligence: prices, discounts, sold counts, seller/shop, ratings, reviews, stock signals, images, and exports"
ReclameAqui Scraper - Brazil Complaints & Company Reputation,Black Falcon Data,https://apify.com/blackfalcondata/reclameaqui-scraper?fpr=youssef,other-ecommerce,34,146,,0,"Scrape ReclameAqui Brazil - full consumer complaint threads with every company reply, not just a reply count. Reputation scores & response rates; company intel by slug, URL or search. Incremental mode tracks new and changed complaints across scheduled runs"
Shein Product Scraper,Shahid Irfan,https://apify.com/shahidirfan/shein-product-scraper?fpr=youssef,chinese-marketplaces,33,270,5,6,"Extract product data from Shein including prices, images, descriptions, sizes, and ratings. Perfect for market research, price comparison, inventory monitoring, and competitive analysis. Get structured data in JSON or CSV format with reliable parsing"
Milanuncios Scraper Real-Time API (2026),Zen Studio,https://apify.com/zen-studio/milanuncios-scraper?fpr=youssef,other-ecommerce,33,178,,0,"Milanuncios Scraper API - Extract listings from Spain's largest classifieds. Get photos, prices, seller profiles, stats, and shipping info. All categories: Motor, Inmobiliaria, Telefonía, Informática. Automatic pagination and deduplication. JSON/CSV export"
"wallapop Scraper (Spain,Italy,Portugal)",Youssef Farhan,https://apify.com/fayoussef/wallapop-scraper?fpr=youssef,global-marketplaces,33,140,5,2,"Scrape Wallapop listings at scale across Spain, Italy, and Portugal without writing a single line of code. Paste any Wallapop search URL or item URL, and this actor returns structured data for every listing prices, specs, seller info, images, and engagement metrics"
Eventbrite Events Scraper,Crawler Bros,https://apify.com/crawlerbros/eventbrite-scraper?fpr=youssef,other-ecommerce,33,102,,0,"Extract events from Eventbrite like title, date, venue, organizer, ticket price, image, tags. Filter by location, category, or keyword. No proxy required"
Goofish 闲鱼 Xianyu Detail Scraper (Idlefish) - 150+ Fields,Zen Studio,https://apify.com/zen-studio/goofish-xianyu-item-detail-scraper?fpr=youssef,other-ecommerce,33,101,,0,"Extract Goofish 闲鱼 (Xianyu/Idlefish) item prices, images, descriptions, seller profiles, Zhima credit, stats, specs, categories, and C2C posting metadata from desktop item URLs or raw IDs. JSON/CSV output for enrichment and monitoring"
Naver Product Detail Scraper,ВAH,https://apify.com/delicious_zebu/naver-product-detail-scraper?fpr=youssef,reviews,33,71,5,4,"Scrape complete product data from any Naver SmartStore or Brand Store URL: price, discount, per-SKU options & stock, images, reviews, delivery, and the full seller business profile (name, registration no, phone, email)"
Shopify Lead Scraper with 1M+ Email Database,Miso,https://apify.com/xmiso_scrapers/shopify-shops-email-leads-scraper?fpr=youssef,shopify-stores,32,1458,4.2,11,scrape shopify powered shops for ecommerce email leads from merchantgenius and own scraped sources
Google Ads Transparency Scraper - Spy on Competitor Ads,Anas Nadeem,https://apify.com/whoareyouanas/google-ads-transparency-scraper?fpr=youssef,other-ecommerce,32,188,5,1,"Scrape Google's Ad Transparency Center for any advertiser - full ad copy, formats, run dates, landing pages, YouTube creatives - into clean CSV/JSON. Skip the and SEMrush bills. Just type a brand name and auto-finds the advertiser and extracts all ad creatives"
Flipkart Listings Scraper,FalconScrape,https://apify.com/piotrv1001/flipkart-listings-scraper?fpr=youssef,global-marketplaces,32,163,,0,"The Flipkart Listings Scraper extracts product data from Flipkart by search query, category URL, or product URL - capturing prices, MRPs, discounts, ratings histograms, key specs, images, availability, and warranty - ideal for price monitoring, catalog tracking, and market research"
OfferUp Scraper,Iñigo Garcia Olaizola,https://apify.com/igolaizola/offerup-scraper?fpr=youssef,ads-and-trends,32,135,5,1,"Extract OfferUp marketplace listings by keyword and ZIP code. Get titles, prices, images, locations, seller info, and optional full details. Export JSON/CSV from Apify to track local deals, monitor price trends, and build lead pipelines. Uses US residential proxies"
Ozon.ru Scraper,Nataniel Santos,https://apify.com/natanielsantos/ozon-scraper?fpr=youssef,global-marketplaces,31,258,5,1,"Easily scrape Ozon's product data. You can use it to extract name, prices, images, description, and more"
Amazon Reviews Scraper & Extractor,WebDataLabs,https://apify.com/webdatalabs/amazon-reviews-scraper?fpr=youssef,amazon,30,460,1.2,3,"Extract Amazon customer reviews for sentiment analysis and competitor research. Returns the reviews Amazon publishes on each product page - typically 8-13 per ASIN - with full text, star rating, Verified Purchase badge, author, date and helpful votes. 25 marketplaces. JSON/CSV for n8n, Zapier, Make"
Leboncoin Scraper Ppe,SilentFlow,https://apify.com/silentflow/leboncoin-scraper-ppr?fpr=youssef,global-marketplaces,30,426,5,2,"Scrape Leboncoin classified ads with pay-per-result pricing. Extract prices, full descriptions, seller phone numbers and GPS coordinates from France's largest marketplace. Covers real estate, cars, jobs, fashion and electronics. Pay only for ads successfully scraped, residential proxies included"
Zomato Restaurant Reviews Scraper,EasyApi,https://apify.com/easyapi/zomato-restaurant-reviews-scraper?fpr=youssef,reviews,30,200,5,3,"Scrape restaurant reviews from Zomato.com. Extract detailed review data including ratings, review text, user information, and more. Perfect for restaurant analytics, customer feedback analysis, and market research"
Amazon Bestseller Scraper,Crawler Bros,https://apify.com/crawlerbros/amazon-bestseller-scraper?fpr=youssef,amazon,30,184,5,1,"Scrapes Amazon Best Sellers, Movers and Shakers, New Releases, Most Wished For, and Most Gifted product lists. Extracts product details including name, price, URL, thumbnail, and position. Supports multiple Amazon domains: US, UK, DE, FR, ES, and IT"
Temu Product Scraper,axly,https://apify.com/axlymxp/temu-product-scraper?fpr=youssef,chinese-marketplaces,30,64,,0,"Scrape Temu's live product feed - title, current & original price, discount, image, sales count and product URL - via a reverse-engineered anti-content signer. Product-detail mode enriches any Temu product ID or URL with title, description and category. Pay only for the results you get"
Mercari Japan Scraper | Fast & Reliable,Fatih Tahta,https://apify.com/fatihtahta/mercari-japan-scraper?fpr=youssef,global-marketplaces,29,216,5,2,"Scrape product listings from Mercari Japan including prices, sellers, conditions history and timestamps. Perfect for resale research, sourcing, and price tracking. Clean, export-ready data for analytics"
"Amazon Scraper API - Products, Reviews, Sellers, Best Sellers",Raven,https://apify.com/pro100chok/amazon-scraper?fpr=youssef,amazon,29,121,,0,"Extract Amazon product data, customer reviews, seller profiles and buy-box offers from 19 marketplaces (US, UK, DE, FR, IT, ES, JP, IN, AU…). Full PDP, BSR, stars histogram, variants, A+, seller VAT + 4-period feedback. No Amazon API needed, no captcha. Pay-per-event"
Taobao Product Scraper,Pizani,https://apify.com/pizani/taobao-product-scraper?fpr=youssef,chinese-marketplaces,28,281,,0,"Extract detailed product data from Taobao, including title, price, reviews, specifications, images, options, and categories. Perfect for market research, e-commerce insights, and data-driven decision-making"
Amazon Product Scraper,SASWAVE,https://apify.com/saswave/amazon-product-scraper?fpr=youssef,amazon,28,220,5.0,4,Amazon scraper collect data from any amazon domain name. Input can be a list of product ASIN or a search url
Autotrader.co.uk [] | Unlimited | Richest output,Muhamed Didovic,https://apify.com/memo23/autotrader-cheerio?fpr=youssef,reviews,28,152,5,10,"extract vehicle data from AutoTrader.co.uk: pricing, specs (make/model/year/mileage), finance quotes with APR/payments, dealer ratings & contact, high-res images, vehicle checks, and CTAs. Ideal for automotive market analysis & lead generation"
TikTok Shop Scraper,Clockworks,https://apify.com/clockworks/tiktok-shop-scraper?fpr=youssef,chinese-marketplaces,28,141,5.0,15,"Extract product data from TikTok Shop by keyword, no official API needed. Scrape descriptions, sale and original prices, stock levels, sales volume, star ratings, seller details, and per-SKU variant data for product research, price monitoring, competitor tracking, or affiliate validation"
Willhaben.at Scraper marktplatz|jobs|immobilien|autos,Azzouzana,https://apify.com/azzouzana/willhaben-scraper?fpr=youssef,other-ecommerce,28,139,5,1,"Schneller & robuster Scraper für willhaben-Suchseiten. Extrahiert Daten aus Marktplatz, Jobs, Immobilien & Autos. Fast & resilient scraper for willhaben search pages. Extracts data from marketplace, jobs, real estate, & cars"
Target Scraper,Automation Lab,https://apify.com/automation-lab/target-scraper?fpr=youssef,us-retailers,28,134,5,2,"Scrape Target.com product data for price monitoring - current/regular prices, sale flags, ratings, reviews, brands, images, and product URLs"
Google Lens Scraper,Gio,https://apify.com/gio21/google-lens-scraper?fpr=youssef,other-ecommerce,28,103,,0,"Reverse image search via Google Lens. Submit any image URL, get visual matches, exact matches, OCR text, and AI descriptions in a single run"
Allegro Fast Product Scraper,E Commerce,https://apify.com/e-commerce/allegro-fast-product-scraper?fpr=youssef,global-marketplaces,27,643,4.9,5,"Scrape product listings from Allegro category, search, and seller pages across allegro.pl, allegro.cz, and allegro.sk, including title, price, currency, condition, purchases, and sku. Export data, run via API, schedule and monitor runs, or integrate with other tools"
Craigslist Scraper (Pay Per Result),Gen First,https://apify.com/ivanvs/craigslist-scraper-pay-per-result?fpr=youssef,global-marketplaces,27,444,5,1,"Extract data from classified advertisements on Craigslist. Scrape details from jobs, housing, items wanted, items for sale, services, community service, gigs, events and resumes listed on Craigslist. Download listings data in JSON, XML, Excel, and other versatile"
eBay Sold Comps - Real Sold Prices Without Login,Marielise,https://apify.com/marielise.dev/ebay-sold-listings-intelligence?fpr=youssef,ebay-etsy,27,361,4.1,5,"eBay sold listings are behind a login wall. This actor still gets real sold prices: it finds the sellers listing your item and reads their public feedback for what buyers actually paid. Sold comps, price range, recommended price, demand. No account, no cookies"
"Avito.ru Seller Profile Парсер - Phones, Reviews & Address",Zen Studio,https://apify.com/zen-studio/avito-seller-profile-scraper?fpr=youssef,global-marketplaces,27,186,5,3,"Телефоны продавцов Авито в открытом виде, отзывы, рейтинги, все объявления с ценами, онлайн-статус. Вставьте любую ссылку. | Avito seller profile scraper: plaintext phones, buyer reviews, ratings, active & closed listings. No login needed. Paste seller URL, listing URL, or direct seller ID"
Noon.com Product Scraper,Shahid Irfan,https://apify.com/shahidirfan/Noon-com-Scraper?fpr=youssef,global-marketplaces,27,177,5,7,"Efficiently extract product data from Noon.com, the Middle East's leading e-commerce marketplace. This lightweight actor quickly gathers prices, specifications, and images. For the most stable results and to avoid blocking, the use of residential proxies is strongly recommended"
JD.com 京东 Jingdong Scraper - Prices & Reviews,Zen Studio,https://apify.com/zen-studio/jd-com-search-scraper?fpr=youssef,global-marketplaces,27,163,,0,"Extract JD.com 京东 (Jingdong) product prices, images, shop data, attributes, and reviews by keyword. Supports Chinese searches like 苹果手机, 笔记本电脑, 机械键盘 plus Jingdong/Jindong queries. Export JSON, CSV, Excel"
FLIPPA.com [] Search by Url | Detail Pages · Emails,Muhamed Didovic,https://apify.com/memo23/flippa-scraper?fpr=youssef,other-ecommerce,27,134,4.8,7,"scrape Flippa search & listings. Extract Revenue, Profit, Multiples, Traffic (Views/Uniques) & Seller Verification. Supports SaaS, Apps & Domains"
Google Play Data Extractor,epctex,https://apify.com/epctex/google-play-scraper?fpr=youssef,reviews,26,1375,5,10,"Get valuable info & reviews from Google Play! Access title, price, ratings, download rates, screenshots, released date, version number & developer details for any region or language. Unlimited & lightning-fast extraction. Export data in XML, JSON, CSV, Excel, or HTML formats"
Walmart Reviews Scraper,E Commerce,https://apify.com/e-commerce/walmart-reviews-scraper?fpr=youssef,us-retailers,26,567,5.0,3,"Extract customer reviews from Walmart.com products, including rating, title, text, userNickname, submissionTime, positiveFeedback, and photos. Export data, run via API, schedule and monitor runs, or integrate with other tools"
Sephora Product Scraper (Global),Richard Feng,https://apify.com/autofacts/sephora?fpr=youssef,us-retailers,26,442,5,1,"Scrape Sephora products across 20 storefronts (US, Canada, 9 EU markets, 10 APAC countries) through one unified Python actor. Extract prices, variants, ratings, and catalog details via official mobile APIs with TLS fingerprint impersonation, OAuth2/guest-token auth, and per-market session isolation"
Flipkart Reviews Scraper,Shahid Irfan,https://apify.com/shahidirfan/flipkart-reviews-scraper?fpr=youssef,global-marketplaces,26,197,5,7,"Instantly extract detailed product reviews, ratings, and customer feedback from Flipkart. Perfect for sentiment analysis, market research, and monitoring competitor products. Unlock valuable e-commerce insights and data to power your business growth today!"
"Goodreads Books, ISBN & Reviews Scraper API",Inus Grobler,https://apify.com/thescrapelab/Apify-Goodreads-Scraper?fpr=youssef,reviews,26,132,,0,"Scrape Goodreads books, ISBN lookups, reviews, ratings, authors, series, genres, and book metadata from URLs or searches into clean JSON datasets"
AliExpress Reviews Scraper,Shahid Irfan,https://apify.com/shahidirfan/AliExpress-Reviews-Scraper?fpr=youssef,chinese-marketplaces,26,128,5,7,"Effortlessly extract detailed customer reviews, star ratings, and feedback images from AliExpress product pages. This actor is perfect for sentiment analysis, dropshipping product research, and monitoring competitor performance. Gather the insights you need to build better e-commerce strategies"
G2 Product Scraper,Chetan Jain,https://apify.com/omkar-cloud/g2-product-scraper?fpr=youssef,reviews,25,992,1.4,6,"G2 Scraper - extract G2 product details, ratings & pricing into structured JSON, plus each product's website, emails, phones & social profiles found by AI. Scrape whole categories too. 240,000+ products, no proxies"
Pinterest Search Scraper,devcake,https://apify.com/devcake/pinterest-search-scraper?fpr=youssef,ads-and-trends,25,220,5,1,"Search Pinterest by keywords and extract pins, comments, shares,saves, profiles,board information,product pins with pricing. 40+ fields for Seo Research, Trend discovery, and Keyword analysis"
Amazon Today's Deals Scraper,FalconScrape,https://apify.com/piotrv1001/amazon-todays-deals-scraper?fpr=youssef,amazon,25,210,5,2,"The Amazon Today's Deals Scraper efficiently extracts product listings from Amazon's Today's Deals page, capturing previous and current prices, price changes, titles, images, and product links. Ideal for price tracking, deal monitoring, and e-commerce analysis"
"iHerb Scraper: Search, Products, Reviews & Monitor",Sage,https://apify.com/vaunted/iherb-scraper?fpr=youssef,reviews,25,206,,0,"The ultimate iHerb API. Supports 4 modes: Search, Product Details, Reviews, and Real-Time Price Monitoring. Extract ingredients, nutrition, and stock status for 24+ countries. No monthly fees - pay only for what you scrape"
Coupang Listings Scraper,FalconScrape,https://apify.com/piotrv1001/coupang-listings-scraper?fpr=youssef,global-marketplaces,25,129,,0,"The Coupang Listings Scraper extracts product listings from Coupang.com, capturing titles, sale and original prices, discount rates, ratings, review counts, Rocket delivery badges, rank, and ad flags - ideal for price monitoring, market research, and competitive analysis"
